Claim ID,Claim,Category,Risk,Required evidence,Status,Source,Approved wording,Notes
ICE-CLM-001,HANA-X Copilot is the first commercially available SAP S/4HANA Copilot,Competitive and legal,High,Competitive analysis and precise category definition,Published under founder authorization; evidence package pending,Founder Letter; working title,HANA-X Copilot is the first commercially available SAP S/4HANA Copilot built on this vision.,Retained by explicit author direction; comparative substantiation remains required for broader external campaigns. Active exception: ICE-FM-001_v1.0_Publication-Risk-Acceptance.md.
ICE-CLM-002,HANA-X Copilot supports a 100% on-premises deployment model,Product architecture,Medium,Deployment architecture and validated bill of materials,Approved wording published; architecture evidence pending,Founder Letter; Query Response,HANA-X Copilot supports a 100% on-premises deployment model.,Publication wording avoids a universal deployment guarantee while preserving the product thesis. Active exception: ICE-FM-001_v1.0_Publication-Risk-Acceptance.md.
ICE-CLM-003,HANA-X Copilot preserves SAP Clean Core principles by using released SAP integration interfaces,SAP architecture,Medium,Official SAP Clean Core guidance and endpoint mapping,Approved wording published; SAP architecture review pending,Query Response; Business Case; ADR-003,"It preserves Clean Core principles by integrating through released and supported SAP S/4HANA APIs, OData services, business events, and other approved integration interfaces appropriate to the customer's S/4HANA edition and release.",Edition- and release-specific qualification retained. Active exception: ICE-FM-001_v1.0_Publication-Risk-Acceptance.md.
ICE-CLM-004,"The core solution can operate without SAP BTP AI services, hyperscaler-hosted LLMs, or consumption-based AI credits",Commercial architecture,High,"Deployment architecture, licensing analysis, and legal review",Approved wording published; licensing evidence pending,Query Response; Founder Letter,"The core HANA-X Copilot solution can be deployed without requiring SAP BTP AI services, hyperscaler-hosted language models, or consumption-based AI credits.",Applies to the core solution; customer-specific architectures may still use those services by choice. Active exception: ICE-FM-001_v1.0_Publication-Risk-Acceptance.md.
ICE-CLM-005,HANA-X Copilot can plan and execute governed multi-step SAP procurement workflows,Product capability,Medium,"Working demonstration, test evidence, and endpoint mapping",Specification available; demonstration evidence pending,Business Case; Procurement Specification,,Separate implemented capability from target-state examples
ICE-CLM-006,SAP cloud-backlog momentum is a material investor signal,Financial and market,High,"SAP earnings releases, investor presentation, dated market analysis, and comparable definitions",Evidence package pending,ICE-SRC-011; ICE-BIZ-001,"Cloud-backlog momentum is a closely watched indicator of contracted future cloud revenue.",Do not imply HANA-X alone can reverse SAP backlog trends.
ICE-CLM-007,Agentic AI positioning is reshaping enterprise software competition,Competitive and market,Medium,"Official competitor product materials, adoption disclosures, and independent research",Evidence package pending,ICE-SRC-011; ICE-BIZ-001,"Enterprise software competition is moving toward agentic systems that interpret intent and coordinate work.",Avoid declaring competitor failure or market leadership without category definition and current evidence.
ICE-CLM-008,Oracle RPO scale creates competitive narrative pressure,Competitive and financial,High,"Oracle filing or earnings release, RPO definition, reporting date, and comparable basis",Evidence package pending,ICE-SRC-011; ICE-BIZ-001,"Oracle's large contracted commitments reinforce the market narrative around AI infrastructure scale.",Exact USD 638 billion figure requires primary-source verification for the applicable reporting period.
ICE-CLM-009,HANA-X Copilot can improve SAP adoption utilization and workflow velocity,Product value,Medium,"Customer baseline, controlled pilot, task telemetry, and user research",Proposed; pilot evidence pending,ICE-BIZ-001,"HANA-X Copilot is designed to reduce interaction friction and support faster governed completion of SAP work.",Quantitative improvement claims require measured pilots.
ICE-CLM-010,Customer-controlled local deployment can improve sovereignty and cost predictability,Commercial architecture,High,"Validated deployment architecture, TCO model, security review, and customer requirements",Proposed; evidence pending,ICE-BIZ-001; ICE-ARCH-001,"Customer-controlled local deployment provides an option for greater data-processing control and infrastructure cost predictability.",Do not describe on-premises AI as free; include hardware and operating costs.
ICE-CLM-011,Clean Core-aligned integration can reduce extension and upgrade risk,SAP architecture,Medium,"Official SAP guidance, endpoint mapping, implementation evidence, and upgrade analysis",Proposed; SAP review pending,ICE-BIZ-001; ICE-ARCH-002,"Keeping agent logic outside the ERP core and using governed released interfaces can reduce extension and upgrade risk.",Each tool remains edition and release specific; no universal guarantee.
